,pearson,spearman,abs_spearman
word_count,0.7884411228788457,0.8071394732706171,0.8071394732706171
char_count,0.7567162872939793,0.8047802389291533,0.8047802389291533
unique_word_count,0.7316722169959015,0.7468823016567364,0.7468823016567364
sentence_count,0.6834036494107597,0.7180016311200047,0.7180016311200047
comma_count,0.6574528086529328,0.68205951235297,0.68205951235297
type_token_ratio,-0.6299980684022869,-0.6409932813490017,0.6409932813490017
spell_err_ratio,-0.40319177956894975,-0.42305188861608606,0.42305188861608606
paragraph_count,0.1624217609197045,0.4105031115507324,0.4105031115507324
comma_per_sent,0.31126518594185765,0.3819896668241196,0.3819896668241196
sent_per_para,0.1821055392952034,0.37642030179541364,0.37642030179541364
avg_word_len,0.32049259749215075,0.316071141416407,0.316071141416407
smog_index,0.24778401047859883,0.29964636718206733,0.29964636718206733
long_word_ratio,0.29333247915346694,0.2952610797996357,0.2952610797996357
flesch_reading_ease,-0.1357936502652978,-0.24365967513376952,0.24365967513376952
punct_ratio,0.18702844349758715,0.2205473729292428,0.2205473729292428
flesch_kincaid_grade,0.009153105445306108,0.1970071783482856,0.1970071783482856
gunning_fog,0.008941793283873728,0.1957448478347651,0.1957448478347651
avg_sentence_len,-0.08129960135931906,0.09483259971160526,0.09483259971160526
content_word_ratio,0.0850643958322195,0.09230839918764132,0.09230839918764132
stopword_ratio,-0.08506439583221946,-0.09230839918764132,0.09230839918764132
spell_err_count,0.011654707985834893,0.043606977984474764,0.043606977984474764
