,1,2,3,4,5,6
word_count,267.365,251.235,358.715,477.9375,621.165,766.0
char_count,1545.5325,1390.4275,2027.35,2703.6425,3579.7325,4490.592592592592
sentence_count,14.27,14.15,19.56,25.2575,31.8575,36.62222222222222
paragraph_count,4.515,4.1275,5.5475,5.4525,5.6225,6.237037037037037
avg_sentence_len,24.16975253474733,20.458729141786467,19.615345039766392,19.6340318673515,20.15597157879754,21.666282004919513
avg_word_len,4.400896715491887,4.349098081961919,4.38911550467504,4.506665129852007,4.6053448543341675,4.721198753151761
sent_per_para,4.709954694717438,4.519941135988194,4.397152826263237,4.995163690476191,5.927128457749148,6.631907706316031
comma_count,7.2075,7.1325,11.3775,18.0825,27.565,36.94814814814815
comma_per_sent,0.5350246290110767,0.5612118781777157,0.6032017110642152,0.7365158326187686,0.8942801695159335,1.032591182493194
punct_ratio,0.01888816440899083,0.020211408576798595,0.020363688710585134,0.021598406812593524,0.022727085584024826,0.02249518278637309
unique_word_count,139.6375,128.5675,163.4625,203.9275,250.3975,295.8074074074074
type_token_ratio,0.5393987239813396,0.523788245271249,0.46615452710902927,0.4318638646474286,0.40713594838699946,0.39087933829159643
long_word_ratio,0.17981315387583485,0.17322342350170927,0.17678242171570635,0.19597157001633214,0.21178185892686335,0.23521974909599383
content_word_ratio,0.510881854758233,0.4964513404114296,0.49786832215102167,0.5071615066469114,0.5147223782292177,0.5181507102212273
stopword_ratio,0.489118145241767,0.5035486595885704,0.5021316778489784,0.49283849335308866,0.4852776217707823,0.4818492897787727
spell_err_count,8.8725,6.25,7.7725,7.5425,7.845,9.088888888888889
spell_err_ratio,0.033985788942232115,0.025141872502869082,0.02169260629156362,0.015915918271608,0.012612923705391426,0.011769792115072928
flesch_reading_ease,59.908249650597334,65.1299716270932,65.24068108807575,61.28836830912025,57.957359174627484,52.376527531913275
flesch_kincaid_grade,11.031117532011804,9.322387322786966,9.095604580336875,9.674918059604579,10.280021789555464,11.47395846450852
gunning_fog,13.355291940214245,11.683433356887514,11.409370963458471,12.022644878249652,12.615964567268602,13.80103648648715
smog_index,11.285253469957008,10.850979939278888,10.99536717417015,11.684331058101732,12.194448025940257,13.073708010624767
