word_count,char_count,sentence_count,paragraph_count,avg_sentence_len,avg_word_len,sent_per_para,comma_count,comma_per_sent,punct_ratio,unique_word_count,type_token_ratio,long_word_ratio,content_word_ratio,stopword_ratio,spell_err_count,spell_err_ratio,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,score
214,1162,8,4,26.75,4.294392523364486,2.0,1,0.125,0.01549053356282272,126,0.5887850467289719,0.16355140186915887,0.49065420560747663,0.5093457943925234,14,0.06542056074766354,63.85290887850469,10.99857476635514,12.756074766355141,9.827888789773866,1
197,1114,9,3,21.88888888888889,4.538071065989848,3.0,5,0.5555555555555556,0.012567324955116697,121,0.6142131979695431,0.22842639593908629,0.4873096446700508,0.5126903553299492,8,0.04060913705583756,61.60944444444448,10.186666666666664,11.88888888888889,10.74609503303851,1
185,1020,12,3,15.416666666666666,4.367567567567567,4.0,0,0.0,0.013725490196078431,109,0.5891891891891892,0.1783783783783784,0.5135135135135135,0.4864864864864865,9,0.04864864864864865,68.53333333333333,7.592340425531916,10.734751773049645,11.038039088145766,1
676,3542,40,5,16.9,4.121301775147929,8.0,14,0.35,0.020609824957651044,290,0.4289940828402367,0.1301775147928994,0.4452662721893491,0.5547337278106509,15,0.022189349112426034,79.82999619004079,6.411619613670133,8.685625023812245,8.69343788997812,1
191,999,9,4,21.22222222222222,4.0,2.25,2,0.2222222222222222,0.011011011011011011,110,0.5759162303664922,0.1099476439790576,0.4816753926701571,0.518324607329843,11,0.05759162303664921,71.76144444444446,8.770666666666667,11.88888888888889,10.74609503303851,1
241,1465,22,5,10.954545454545455,4.809128630705394,4.4,7,0.3181818181818182,0.023890784982935155,130,0.5394190871369294,0.2157676348547718,0.5809128630705395,0.4190871369294606,13,0.05394190871369295,64.98477272727274,6.905378787878789,8.363636363636363,9.218907990703514,1
378,2303,13,5,29.076923076923077,4.455026455026455,2.6,14,1.0769230769230769,0.014329135909683021,146,0.3862433862433862,0.18783068783068782,0.4708994708994709,0.5291005291005291,6,0.015873015873015872,54.674304029304054,12.856878306878308,15.44029304029304,14.554592549557764,1
205,1157,5,6,41.0,4.521951219512195,0.8333333333333334,4,0.8,0.01296456352636128,109,0.5317073170731708,0.18048780487804877,0.5073170731707317,0.4926829268292683,6,0.02926829268292683,38.93573913043481,18.113487922705314,19.072077294685993,13.348371206891418,1
563,2728,28,5,20.107142857142858,3.761989342806394,5.6,5,0.17857142857142858,0.012463343108504398,169,0.30017761989342806,0.08880994671403197,0.40852575488454707,0.5914742451154529,14,0.02486678507992895,85.63330645161292,6.266013824884794,9.046697388632872,7.70948699238394,1
376,1992,10,4,37.6,4.218085106382978,2.5,1,0.1,0.005522088353413655,148,0.39361702127659576,0.14095744680851063,0.44148936170212766,0.5585106382978723,10,0.026595744680851064,48.05847619047621,15.946708994708995,18.506243386243387,14.410869940926823,1
204,1168,8,7,25.5,4.568627450980392,1.1428571428571428,5,0.625,0.0136986301369863,88,0.43137254901960786,0.2549019607843137,0.47549019607843135,0.5245098039215687,5,0.024509803921568627,45.9958373786408,13.24084951456311,17.096116504854372,15.078166124597352,1
283,1630,11,4,25.727272727272727,4.572438162544169,2.75,5,0.45454545454545453,0.012269938650306749,142,0.5017667844522968,0.18374558303886926,0.5017667844522968,0.49823321554770317,12,0.04240282685512368,58.6837527524379,11.601000314564331,13.000440390059769,11.022393298168332,1
221,1227,10,3,22.1,4.402714932126697,3.3333333333333335,5,0.5,0.020374898125509373,113,0.5113122171945701,0.17194570135746606,0.4751131221719457,0.5248868778280543,5,0.02262443438914027,56.82132142857145,10.898678571428572,11.46,10.125756701596842,1
714,3325,20,1,35.7,3.6022408963585435,20.0,1,0.05,0.009022556390977444,205,0.28711484593837533,0.0700280112044818,0.4019607843137255,0.5980392156862745,20,0.028011204481792718,68.46336554621851,12.578938375350145,14.952268907563028,8.07648339933343,1
